"ActivityType","StartTime","EndTime","AltitudeAvg","AltitudeMin","AltitudeMax","Ascent","Descent","Distance","Duration","HrAvg","HrMin","Calories","SpeedAvg"
"Running",2020-09-10 15:47:37,2020-09-10 17:09:20,161.587517785066,148.600006103516,177.600006103516,316.200073242188,328.200073242188,15080.67,4903,160.106932303314,88,1024,11.0728965939221
"Running",2020-09-11 18:33:28,2020-09-11 19:11:54,128.664548057799,122,135.800003051758,24.3999938964844,24.7999954223633,5417.67,2306,137.916870415648,94,426,8.45776756287944
"Other",2020-09-14 13:36:33,2020-09-14 15:25:18,113.961597299051,86.8000030517578,141.399993896484,714.400161743164,717.200164794922,31128.78,6525,155.923806609547,83,1271,17.1744993103448
"Biking",2020-09-15 14:49:17,2020-09-15 16:35:07,105.634413273689,80.4000015258789,153.600006103516,564.400100708008,561.800102233887,39118.25,6350,142.173954073608,85,1065,22.1772755905512
"Running",2020-09-16 14:00:18,2020-09-16 15:16:14,125.010590432542,114.400001525879,139.600006103516,209.599967956543,201.599967956543,12655.84,4556,147.604924820222,66,858,10.0002247585601
"Running",2020-09-18 15:40:27,2020-09-18 17:13:55,128.449955540636,114.599998474121,144,264.200088500977,268.200088500977,17068.98,5608,157.275022222222,96,1069,10.9572624821683
"Other",2020-09-21 15:44:06,2020-09-21 16:43:05,145.741100178922,131.399993896484,160.199996948242,397.199890136719,394.999893188477,16847.53,3539,151.883497884344,82,754,17.1379225769992
"Running",2020-09-22 15:15:30,2020-09-22 16:22:36,130.644604407774,124,149.800003051758,239.400093078613,236.400093078613,9794.37,4026,149.08360208385,82,776,8.75800596125186
"Biking",2020-09-23 13:50:41,2020-09-23 15:13:24,117.190585331139,88.5999984741211,141.600006103516,618.599983215332,619.999977111816,35703.6,4963,156.947897807282,97,1010,25.8982389683659
"Running",2020-09-24 16:47:23,2020-09-24 18:14:59,145.247922679863,132.399993896484,158.600006103516,225.999938964844,222.59992980957,14210.39,5256,145.562583095916,88,967,9.73314383561644
"Other",2020-09-25 17:20:06,2020-09-25 18:36:04,127.500424256925,120.199996948242,135.800003051758,25.4000244140625,25.2000198364258,5893.39,4558,88.8755304101839,55,422,4.65471785870996
"Biking",2020-09-26 14:24:02,2020-09-26 16:33:52,104.621894594859,77.8000030517578,147.199996948242,847.799873352051,859.799873352051,56408.23,7790,138.363151658768,81,2294,26.0679881899872
"Other",2020-09-27 14:08:33,2020-09-27 15:49:38,119.744790152091,97.4000015258789,142,600.400260925293,602.400260925293,29041.29,6065,151.311769547325,77,1129,17.2380286892003
"Running",2020-09-29 16:44:13,2020-09-29 17:43:54,142.954038669937,131.600006103516,158.199996948242,262.000106811523,262.800109863281,8514.62,3581,146.077566964286,86,673,8.55979670483105
